#group,false,false,true,true,false,false,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string
#default,mean,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device,fstype,host,mode,path
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:29:30Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:29:40Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:29:50Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:30:00Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:30:10Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:30:20Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:30:30Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:30:40Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:30:50Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:31:00Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:31:10Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:31:20Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:31:30Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:31:40Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:31:50Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:32:00Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:32:10Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:32:20Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:32:30Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:32:40Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:32:50Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:33:00Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:33:10Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:33:20Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:33:30Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:33:40Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:33:50Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:34:00Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:34:10Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:34:20Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:34:30Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:34:40Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:34:50Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:35:00Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:35:10Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:35:20Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:35:30Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:35:40Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:35:50Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:36:00Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:36:10Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:36:20Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:36:30Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:36:40Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:36:50Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:37:00Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:37:10Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:37:20Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:37:30Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
